timestamp,etf_price_inr,inav_inr,premium_discount_pct,silver_usd_oz,usd_inr,silver_inr_gram,suggestion
2026-02-27 00:43:29 IST,24.98,25.77,-3.078,88.13,90.961,257.7328,🟢 BUY   (Discount -3.08% < -1.0%)
2026-02-27 01:25:04 IST,24.98,25.9,-3.557,88.57,90.959,259.0139,🟢 BUY   (Discount -3.56% < -1.0%)
2026-02-27 01:55:59 IST,24.98,26.11,-4.32,89.265,90.97,261.0779,🟢 BUY   (Discount -4.32% < -1.0%)
2026-02-27 02:31:30 IST,24.98,26.1,-4.281,89.24,90.959,260.9732,🟢 BUY   (Discount -4.28% < -1.0%)
2026-02-27 03:10:31 IST,24.98,26.05,-4.097,89.075,90.952,260.4707,🟢 BUY   (Discount -4.10% < -1.0%)
2026-02-27 03:31:36 IST,24.98,25.98,-3.844,88.84,90.953,259.7863,🟢 BUY   (Discount -3.84% < -1.0%)
2026-02-27 04:12:55 IST,24.98,25.99,-3.871,88.865,90.953,259.8595,🟢 BUY   (Discount -3.87% < -1.0%)
2026-02-27 04:34:27 IST,24.98,25.99,-3.871,88.865,90.953,259.8595,🟢 BUY   (Discount -3.87% < -1.0%)
2026-02-27 05:09:46 IST,24.98,25.91,-3.584,88.6,90.953,259.0845,🟢 BUY   (Discount -3.58% < -1.0%)
2026-02-27 05:28:18 IST,24.98,25.96,-3.79,88.79,90.953,259.6401,🟢 BUY   (Discount -3.79% < -1.0%)
2026-02-27 07:32:40 IST,24.98,26.22,-4.736,89.665,90.96,262.219,🟢 BUY   (Discount -4.74% < -1.0%)
